station_id,uuid
3589120,01436
3589250,01553
3589251,01554
3589381,01687
3589382,01688
3589383,01689
3589384,01690
3589258,01561
3589259,01562
3589260,01563
3589389,01695
3589390,01696
3589391,01697
3589392,01698
3589393,01699
3589394,01700
3589396,01702
3589397,01703
3588758,01383
3589399,01705
3589272,01576
3589273,01577
3589274,01578
3589275,01579
3589276,01580
3589277,01581
3589278,01582
3589279,01583
3589280,01584
3589281,01585
3589282,01586
3589283,01587
3589284,01588
3589285,01589
3589286,01590
3589287,01591
3589288,01592
3589289,01593
3589290,01594
3589291,01595
3589292,01596
3589293,01597
3589405,01711
3587507,01078
3589406,01712
3589302,01606
3589303,01607
3589304,01608
3589305,01609
3589306,01610
3589307,01611
3589308,01612
3589309,01613
3589398,01704
3589387,01693
3589316,01620
3589317,01621
3589318,01622
3589400,01706
3589388,01694
3588814,01384
3589404,01710
3589402,01708
3587670,01305
3589403,01709
3587674,01309
3587675,01310
3587676,01311
3587677,01312
3589227,01529
3589228,01530
3589229,01531
3589230,01532
3589231,01533
3589232,01534
3589233,01535
3589234,01536
3589235,01537
3589236,01538
3589237,01539
3589366,01672
3589367,01673
3589118,01435
