station_id,longitude (degrees east),latitude (degrees north),date_time,depth (meters),sea_water.pressure (dbar),wind.from_direction (deg),wave.height (m),sea_water.salinity (psu),wave.from_direction.wrt_dominant_wave_period (deg),wind.speed.standard_deviation (m/s),wind.from_direction.standard_deviation (deg),frequency.measurement.oxygen.sensor (Hz),oxygen.fractional_saturation.in_sea_water (%),air.temperature (degC),wave.from_direction.mean (deg),dominant.wave.period (s),wave.period.mean (s),temperature.dew_point (degC),visibility.in_air (nmi),height.water_surface.above_reference_datum (m),sea_water.electrical_conductivity (uS/m),wind.speed (m/s),time.wrt_wind_speed.maximum (seconds since 1970-01-01 00:00:00),wind.from_direction.wrt_wind_speed.maximum (deg),wind.speed.maximum (m/s),sea_water.pressure.expressed_as.height (m),sea_water.current.speed (m/s),sea_water.current.to_direction (deg),air.pressure (hPa),mole.concentration_of.dissolved_molecular.oxygen.in_sea_water (umol/kg),existence.reporting_mode.wrt_platform (-),carbon_dioxide.fugacity.in_sea_water (uatm),volume_beam_attenuation_coefficient.radiative_flux.in_sea_water (1/m),emissivity_ratio_of_425nm_peak_to_685nm_peak (-),sea_water.sigma_theta (kg/m**3),sea_surface.temperature (degC),sea_water.temperature (degC),air.pressure.at_sensor_altitude (hPa),sea_water.current.speed.u (m/s),sea_water.current.speed.v (m/s),air.pressure.at_sea_level (hPa),height.water_surface.above_reference_datum.due_to_tides (m),mass.concentration_of.chlorophyll.in_sea_water (mg/m**3),mole.concentration_of.dissolved_molecular.oxygen.per_unit_mass.in_sea_water (umol/kg),wind.from_direction.mean (deg),water.volume.transport.from_rivers.into_sea_water (m**3/s)
3589306,-56.3180007935,-64.973197937,2011-09-06T10:07:00Z,-1030,,,,,,,,,,,,,,,,,,,,,,,0.267306923866,258.563959051,,,,,,,,,,,-0.261999994516,-0.0529999993742,,,,,,
3589306,-56.3180007935,-64.973197937,2011-09-06T10:07:00Z,-1020,,,,,,,,,,,,,,,,,,,,,,,0.260094225407,261.153352067,,,,,,,,,,,-0.256999999285,-0.0399999991059,,,,,,
3589306,-56.3180007935,-64.973197937,2011-09-06T10:07:00Z,-1010,,,,,,,,,,,,,,,,,,,,,,,0.253337711096,264.109375978,,,,,,,,,,,-0.252000004053,-0.0260000005364,,,,,,
3589306,-56.3180007935,-64.973197937,2011-09-06T10:07:00Z,-1000,,,,,,,,,,,,,,,,,,,,,,,0.2588532269,265.346651086,,,,,,,,,,,-0.25799998641,-0.0209999997169,,,,,,
3589306,-56.3180007935,-64.973197937,2011-09-06T10:07:00Z,-990,,,,,,,,,,,,,,,,,,,,,,,0.268821507692,265.519564155,,,,,,,,,,,-0.268000006676,-0.0209999997169,,,,,,
3589306,-56.3180007935,-64.973197937,2011-09-06T10:07:00Z,-980,,,,,,,,,,,,,,,,,,,,,,,0.27066770196,265.974714301,,,,,,,,,,,-0.270000010729,-0.0189999993891,,,,,,
3589306,-56.3180007935,-64.973197937,2011-09-06T10:07:00Z,-970,,,,,,,,,,,,,,,,,,,,,,,0.253333777189,267.058535548,,,,,,,,,,,-0.252999991179,-0.0130000002682,,,,,,
3589306,-56.3180007935,-64.973197937,2011-09-06T10:07:00Z,-960,,,,,,,,,,,,,,,,,,,,,,,0.236103788018,268.301049411,,,,,,,,,,,-0.236000001431,-0.00700000021607,,,,,,
3589306,-56.3180007935,-64.973197937,2011-09-06T10:07:00Z,-950,,,,,,,,,,,,,,,,,,,,,,,0.228177562356,267.739498578,,,,,,,,,,,-0.228000000119,-0.00899999961257,,,,,,
3589306,-56.3180007935,-64.973197937,2011-09-06T10:07:00Z,-940,,,,,,,,,,,,,,,,,,,,,,,0.220383763313,266.618275215,,,,,,,,,,,-0.219999998808,-0.0130000002682,,,,,,
